"Value";"RefDes";"Pattern";"LCSC Part #"
"22uF";"C1";"CAP_0603";"C59461"
"22uF";"C2";"CAP_0603";"C59461"
"470pF";"C3";"CAP_0402";"C1537"
"22pF";"C4";"CAP_0402";"C1555"
"22pF";"C5";"CAP_0402";"C1555"
"0.1uF";"C6";"CAP_0402";"C1546"
"0.1uF";"C7";"CAP_0402";"C1546"
"0.1uF";"C8";"CAP_0402";"C1546"
"0.1uF";"C9";"CAP_0402";"C1546"
"0.1uF";"C10";"CAP_0402";"C1546"
"0.1uF";"C11";"CAP_0402";"C1546"
"0.1uF";"C12";"CAP_0402";"C1546"
"0.1uF";"C13";"CAP_0402";"C1546"
"0.1uF";"C14";"CAP_0402";"C1546"
"0.1uF";"C15";"CAP_0402";"C1546"
"0.1uF";"C16";"CAP_0402";"C1546"
"0.1uF";"C17";"CAP_0402";"C1546"
"0.1uF";"C18";"CAP_0402";"C1546"
"0.1uF";"C19";"CAP_0402";"C1546"
"0.1uF";"C20";"CAP_0402";"C1546"
"0.1uF";"C21";"CAP_0402";"C1546"
"0.1uF";"C22";"CAP_0402";"C1546"
"0.1uF";"C23";"CAP_0402";"C1546"
"0.1uF";"C24";"CAP_0402";"C1546"
"0.1uF";"C25";"CAP_0402";"C1546"
"";"D1";"DIOMELF350X152L30N";"C9808"
"";"H1";"TOOLING_HOLE";""
"";"H2";"TOOLING_HOLE";""
"";"H3";"TOOLING_HOLE";""
"";"J1";"ECON60M";""
"";"J2";"HDR-1x6T/2.54/15x2";""
"100K";"R1";"RES_0402";"C25741"
"2.2K";"R2";"RES_0402";"C25879"
"100K";"R3";"RES_0402";"C25741"
"200R";"R4";"0402_x4";"C2011"
"200R";"R5";"0402_x4";"C2011"
"200R";"R6";"0402_x4";"C2011"
"200R";"R7";"0402_x4";"C2011"
"200R";"R8";"0402_x4";"C2011"
"200R";"R9";"0402_x4";"C2011"
"200R";"R10";"0402_x4";"C2011"
"200R";"R11";"0402_x4";"C2011"
"200R";"R12";"0402_x4";"C2011"
"200R";"R13";"0402_x4";"C2011"
"200R";"R14";"0402_x4";"C2011"
"200R";"R15";"0402_x4";"C2011"
"200R";"R16";"0402_x4";"C2011"
"200R";"R17";"0402_x4";"C2011"
"";"U1";"QFP-144/22x22x0.5";"C5358"
"";"U2";"TSOP-56/14x20x0.5";""
"";"U3";"TSOP-32/8x14+20x0.5";"C261875"
"3.3V";"U4";"SOT223-4";"C6186"
"";"U5";"SOP-48/8.1x0.5";"C5531"
"";"U6";"SOP-48/8.1x0.5";"C5531"
"";"U7";"SOIC-28/300mil";""
