"RefDes";"X (mm)";"Y (mm)";"Side";"Rotate"
"C1";"13.016";"33.098";"Top";"180.0"
"C2";"17.62";"33.098";"Top";"180.0"
"C3";"55.561";"27.462";"Top";"180.0"
"C4";"89.692";"24.288";"Top";"180.0"
"C5";"88.74";"56.434";"Top";"90.0"
"C6";"58.181";"59.768";"Top";"180.0"
"C7";"62.308";"59.768";"Top";"0.0"
"C8";"66.515";"59.768";"Top";"180.0"
"C9";"99.614";"55.323";"Top";"0.0"
"C10";"76.596";"51.91";"Top";"0.0"
"C11";"47.783";"51.751";"Top";"180.0"
"C12";"45.004";"50.481";"Top";"0.0"
"C13";"77.548";"48.656";"Top";"270.0"
"C14";"74.532";"47.624";"Top";"90.0"
"C15";"48.973";"46.83";"Top";"180.0"
"C16";"45.004";"43.893";"Top";"0.0"
"C17";"48.497";"42.306";"Top";"180.0"
"C18";"77.231";"41.194";"Top";"270.0"
"C19";"24.129";"35.648";"Top";"90.0"
"C20";"73.659";"35.524";"Top";"90.0"
"C21";"58.736";"34.368";"Top";"0.0"
"C22";"61.435";"32.543";"Top";"270.0"
"C23";"66.515";"31.908";"Top";"270.0"
"C24";"24.129";"28.961";"Top";"270.0"
"C25";"73.659";"28.745";"Top";"270.0"
"D1";"54.529";"25.319";"Top";"0.0"
"H1";"12.699";"61.356";"Top";"0.0"
"H2";"107.234";"61.356";"Top";"0.0"
"H3";"12.699";"23.653";"Top";"0.0"
"J1";"21.906";"10.159";"Top";"0.0"
"J2";"48.497";"61.594";"Bottom";"180.0"
"R1";"85.565";"56.434";"Top";"90.0"
"R2";"87.152";"56.434";"Top";"90.0"
"R3";"55.561";"28.891";"Top";"180.0"
"R4";"27.546";"24.303";"Top";"0.0"
"R5";"30.403";"24.303";"Top";"0.0"
"R6";"33.261";"24.303";"Top";"0.0"
"R7";"36.118";"24.303";"Top";"0.0"
"R8";"44.766";"24.303";"Top";"0.0"
"R9";"47.941";"24.303";"Top";"0.0"
"R10";"59.054";"24.303";"Top";"0.0"
"R11";"63.499";"24.303";"Top";"0.0"
"R12";"76.834";"24.303";"Top";"0.0"
"R13";"79.691";"24.303";"Top";"0.0"
"R14";"82.549";"24.303";"Top";"0.0"
"R15";"85.406";"24.303";"Top";"0.0"
"R16";"94.138";"24.303";"Top";"0.0"
"R17";"96.995";"24.303";"Top";"0.0"
"U1";"61.991";"47.386";"Top";"270.0"
"U2";"31.669";"50.402";"Top";"0.0"
"U3";"91.756";"48.735";"Top";"0.0"
"U4";"15.239";"40.187";"Top";"90.0"
"U5";"31.799";"31.862";"Top";"90.0"
"U6";"81.12";"31.862";"Top";"90.0"
"U7";"90.724";"46.83";"Bottom";"90.0"
